code,description,category
99241,New consultation with a Clinical Officer / Dental Therapist,Specialty
99211,Follow up consultation with a Clinical Officer / Dental Therapist,Specialty
99242,New consultation with an Assistant Medical Officer / Assistant Dental Officer,Specialty
99212,Follow up consultation with an Assistant Medical Officer / Assistant Dental Officer,Specialty
99243,New consultation with a Medical Officer / Dental Officer,Specialty
99213,Follow up consultation with a Medical Officer / Dental Officer,Specialty
99244,New consultation with a Medical Specialist / Dental Specialist,Specialty
99214,Follow up consultation with a Medical Specialist / Dental Specialist,Specialty
99245,New consultation with a Super Specialist,Specialty
99215,Follow up consultation with a Super Specialist,Specialty
99382,"New consultation therapist with diploma(physiotherapy, occupational therapy,  speech therapy)",Specialty
97169,"Follow up Consultation therapist with diploma(physiotherapy, occupational therapy,  speech therapy)",Specialty
99383,"New consultation therapist with degree(physiotherapy, occupational therapy,  speech therapy)",Specialty
99386,"Follow up Consultation therapist/psychology with degree(physiotherapy,  occupational therapy, speech therapy)",Specialty
99387,"New consultation therapist/psychology specialist (physiotherapy, occupational  therapy, speech therapy)",Specialty
99429,"Follow up consultation therapist specialist (physiotherapy, occupational therapy,  speech therapy)",Specialty
97802,New consultation Nutritionist,Specialty
97803,Follow up consultation Nutritionist,Specialty
99205,Registration (new file) for a new patient,Specialty
99251,Consultation for observation,Specialty
99252,Cross consultation within and between hospital(s),Specialty
99253,Panel consultation within the same discipline (panel with at least three doctors),Specialty
99254,Panel multidisciplinary consultation (panel with at least three doctors),Specialty
99255,Consultation with a multidisciplinary panel plus administrators,Specialty
99217,High Dependent Unit (HDU),Specialty
99218,VIP room,Specialty
99219,IPPM or Private Room (grade one),Specialty
99220,General ward,Specialty
99234,ICU-CCU ward,Specialty
99235,Rehabilitation ward,Specialty
99236,Isolated or high risk ward,Specialty
99341,New patient home visit with a Clinical Officer/ Clinical Physiotherapist / Occupational Therapist,Specialty
99347,Follow up patient home visit with a Clinical Officer/ Clinical Physiotherapist/ Occupational Therapist,Specialty
99342,New patient home visit with an Assistant Medical Officer (AMO),Specialty
99348,Follow up patient home visit with an Assistant Medical Officer (AMO),Specialty
99343,New patient home visit with a General Practitioner (GP/MD)/ Physiotherapy Officer/ Occupational Therapy officer,Specialty
99349,Follow up patient home visit with a General Practitioner (GP/MD)/ Physiotherapy Officer/ Occupational Therapy officer,Specialty
99344,New patient home visit with a Specialist/ Specialist Physiotherapist,Specialty
99350,Follow up patient home visit with a Specialist/ Specialist Physiotherapist,Specialty
99345,New patient home visit with a Super Specialist,Specialty
99334,Follow up patient home visit with a Super Specialist,Specialty
99339,"New patient home visit with other cardres (nurses, pharmacist, social worker, etc.)",Specialty
99340,"Follow up patient home visit with other cardres (nurses, pharmacist, social worker, etc.)",Specialty
99304,Nursing services at the Outpatient Department (OPD),Specialty
99305,Nursing care at the general ward,Specialty
99306,Nursing services at the Emergency Department (EMD),Specialty
99307,Nursing care at the ICU and CCU,Specialty
99308,Nursing care at the High Dependent Unit (HDU),Specialty
99309,Nursing care at the VIP,Specialty
99310,Nursing care at the IPPM or private room (grade one),Specialty
99315,Nursing care at the rehabilitation ward,Specialty
99316,Nursing care at the isolated or high risk ward,Specialty
99082,Parking services,Specialty
99497,Medical Nutritional Therapy (Oral / Parenteral / Enteral),Specialty
99281,Ambulance services,Specialty
97804,Food Services,Specialty
98966,"Telephone assessment and management service, 5-10 minutes of medical discussion",Specialty
98967,"Telephone assessment and management service,11-20 minutes of medical discussion",Specialty
98968,"Telephone assessment and management service,21-30 minutes of medical discussion",Specialty
99381,Provider Initiating Testing and Counseling (PITC) children below 09 years,Specialty
99384,Provider Initiating Testing and Counseling (PITC) adolescent,Specialty
99385,Provider Initiating Testing and Counseling (PITC) adult,Specialty
99406,Counseling,Specialty
90476,Inactivated Poliovirus Vaccine (IPV),Specialty
90585,Baccile Calmette Guerin (BCG ) Vaccine,Specialty
90621,Meningococcus Vaccine,Specialty
90649,Human Papilloma Virus (HPV) Vaccine,Specialty
90670,Pneumococcal Vaccine (PCV-13),Specialty
90675,Rabies Virus Vaccine,Specialty
90680,Rotavirus Vaccine,Specialty
90696,"Diphtheria, Tetanus Toxoids, Acellular Pertussis, Haemophilus Influenzae Type B, Hepatitis B (DPT+Hepb+Hib) Vaccine",Specialty
90707,"Measles, Mumps, and Rubella (MMR) Vaccine",Specialty
90713,Poliovirus Vaccine-Oral (OPV),Specialty
90714,Tetanus And Diphtheria Toxoids (TT) Vaccine,Specialty
90717,Yellow Fever Vaccine,Specialty
90739,Hepatitis B Virus (HBV) Vaccine,Specialty
90471,Unspecified Vaccination Procedures E.g. New Vaccine,Specialty
84311,Adenosine Deaminase (ADA) – Serum,Specialty
82040,Albumin,Specialty
84182,Albumin/Globulin Ratio,Specialty
84075,Alkaline Phosphatase (ALP) Serum,Specialty
84460,Alanine Aminotransferaseor (ALT) / Serum Glutamic Pyruvate Transaminase (SGPT),Specialty
82150,Amylase,Specialty
84450,Aspartate Aminotransferase (AST) / Serum Glutamic Oxaloacetic Transaminase (SGOT),Specialty
84702,Beta - Human Chorionic Gonadotropin (β-HCG) - Serum,Specialty
82248,Bilirubin Direct,Specialty
82247,Bilirubin Total,Specialty
86140,C-Reactive Protein (CRP),Specialty
82310,Calcium - Serum/Post Dialysis Calcium,Specialty
82435,Chloride – Serum,Specialty
82436,Chloride-Urine,Specialty
82465,Cholesterol (Total),Specialty
82550,Creatine Kinase (CK- MB),Specialty
82565,Creatinine/Post Dialysis Creatinine,Specialty
82945,"Glucose Level on Body Fluids (CSF Ascitic, Peritonial, Pleural, Pericadial, Synovial)",Specialty
84157,"Protein Level on Body Fluids (CSF, Ascitic, Peritonial, Pleural)",Specialty
85397,D-Dimer,Specialty
82728,Ferritin,Specialty
82746,Folic Acid Level (Folate),Specialty
82977,Gamma - Glutamyltransferase (GGT),Specialty
82947,Fasting/Random Blood Glucose (FBG/RBG),Specialty
83036,Glycosylated Haemoglobin (HbA1c),Specialty
83718,High Density Lipoprotein (HDL),Specialty
83540,Iron (Fe),Specialty
83550,Iron Saturation (% Saturation),Specialty
83615,Lactate Dehydrogenase (LDH),Specialty
83721,Low Density Lipoprotein (LDL),Specialty
83735,Magnesium,Specialty
84100,Phosphorus/Post Dialysis Phosphorus,Specialty
84132,Potassium/Post Dialysis Potassium,Specialty
84156,Protein in Urine,Specialty
83690,Lipase Serum,Specialty
84165,Protein Electrophoresis Serum,Specialty
82607,Vitamin B-12 (Cyanocobalamin),Specialty
84295,Sodium/Post Dialysis Sodium,Specialty
84432,Thyroglobulin Antibodies (Tg Ab),Specialty
84466,Transferrin,Specialty
84478,Triglycerides,Specialty
84484,Troponin-I,Specialty
84560,Uric Acid,Specialty
80202,Vancomycin Level,Specialty
82652,"Vitamin D-25 (Dihydroxyvitamin D, 1, 25)",Specialty
83719,Very Low Density Lipoprotein (VLDL),Specialty
82570,24Hr Creatinine Urine,Specialty
84133,24Hr Potassium Urine,Specialty
84300,24Hr Sodium Urine,Specialty
84181,Globulin,Specialty
82374,Carbondioxide Serum,Specialty
82951,Oral Glucose Tolerance Test (OGTT),Specialty
84066,Acid Phosphotase Serum,Specialty
82803,Blood Gas Panel,Specialty
80375,Urine Drug Screening (UDS ),Specialty
80299,Quantitation of Therapeutic Drugs,Specialty
80197,Tacrolimus Level,Specialty
80195,Sirolimus Level,Specialty
80169,Everolimus Level,Specialty
82105,Alpha Feto Protein (AFP),Specialty
83880,Brain Natriuretic Peptide (BNP),Specialty
86304,Cancer Antigen - 125 (CA - 125),Specialty
